그레잇오프,https://usercontents-c.styleshare.io/images/23395489/700x394,https://usercontents-c.styleshare.io/images/23395489/88x50,그레잇 오프는 자연/초자연의 다양한 장면에서 영감을 얻고 머릿속에 컬러를 규정하여 스트라이프 원단을 디자인/제작하는 패션 회사입니다.
그루비씬,https://usercontents-c.styleshare.io/images/25123926/700x394,https://usercontents-c.styleshare.io/images/25123926/88x50,"하나의 인생은 기억속에서 바라 볼 때, 단편적인 장면 장면들이 모여 이루어집니다.GroovyScene은 '멋진 장면' 이라는 뜻으로, 여러분이 만들어 갈 일생속 개별적인 장면들에 '멋'을 책임지고자 만든 브랜드입니다.브랜드 최우선가치인 '멋'과 함께 여러분만의 'Groovy Scene'들을 만들어가며 기억 속 자신의 삶 전체를 멋지게 만들어 보세요.'You always have to be gorgeous in your own memory ; Groovy Scene'"
그뤼너씨,https://usercontents-c.styleshare.io/images/39978997/700x394,https://usercontents-c.styleshare.io/images/39978997/88x50,아름다운 호수의 신비로움과 깨끗함을 담은 초자연브랜드
그리쉬,https://usercontents-c.styleshare.io/images/34221670/700x394,https://usercontents-c.styleshare.io/images/34221670/88x50,그리쉬는 YOUNG & FRESH 한 무드를 기반으로 다양한 디자인을 FRESH한 컬러감으로 표현하는 브랜드입니다.
그린코디,https://usercontents-c.styleshare.io/images/41898333/700x394,https://usercontents-c.styleshare.io/images/41898333/88x50,그린코디는 미용기기전문업체로 LED 마스크 및 필링기 등 다양한 페이스 관리 전문 브랜드입니다.
글램폭스,https://usercontents-c.styleshare.io/images/21192241/700x394,https://usercontents-c.styleshare.io/images/21192241/88x50,글램폭스는 원래 타고난 것처럼 자신만의 매력적인 여자가 되길 원하는 여성들의 니즈를 만족시키기 위한 해결책으로 탄생된 브랜드입니다.
글레이즈드,https://usercontents-c.styleshare.io/images/23112860/700x394,https://usercontents-c.styleshare.io/images/23112860/88x50,
글로리아덴,https://usercontents-c.styleshare.io/images/18817279/700x394,https://usercontents-c.styleshare.io/images/18817279/88x50,GLORY ARDEN(글로리아덴)은 스와로브스키를 주 소재로 한 유니크하면서도 여성적인 감성을 지향하는 커스텀 주얼리 브랜드입니다.
글로스턴,https://usercontents-c.styleshare.io/images/32392822/700x394,https://usercontents-c.styleshare.io/images/32392822/88x50,"""글로스턴은 클래식을 기반으로한 아이웨어 브랜드입니다. 항상 본질을 먼저 생각하며 눈의건강을 위해 최상의 퀄리티를 유지하고아울러, 오래써도 질리지않는 디자인을 소개하는 브랜드입니다."""
글로우라우디,https://usercontents-c.styleshare.io/images/32167320/700x394,https://usercontents-c.styleshare.io/images/32167320/88x50,다이아몬드가루가 함유되어 피부에 품격있는 아름다움의 스펙트럼을 선사하는 프리미엄 기초브랜드 글로우라우디
